typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate,
C,A,20250101,2025,52,2025,31,AZE,Azerbaijan,M,Import,0,W00,World,0,W00,World,H6,HS,TRUE,1001,Wheat and meslin,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1267322441,FALSE,8,kg,1267322441,FALSE,1267322441,FALSE,0,FALSE,275626197.62,,275626197.62,0,FALSE,TRUE,
C,A,20250101,2025,52,2025,31,AZE,Azerbaijan,M,Import,40,AUT,Austria,0,W00,World,H6,HS,TRUE,1001,Wheat and meslin,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,15000,FALSE,8,kg,15000,FALSE,15000,FALSE,0,FALSE,155735.29,,155735.29,0,FALSE,TRUE,
C,A,20250101,2025,52,2025,31,AZE,Azerbaijan,M,Import,398,KAZ,Kazakhstan,0,W00,World,H6,HS,TRUE,1001,Wheat and meslin,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,662269701,FALSE,8,kg,662269701,FALSE,662269701,FALSE,0,FALSE,142576076.62,,142576076.62,0,FALSE,TRUE,
C,A,20250101,2025,52,2025,31,AZE,Azerbaijan,M,Import,643,RUS,Russian Federation,0,W00,World,H6,HS,TRUE,1001,Wheat and meslin,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,604944157,FALSE,8,kg,604944157,FALSE,604944157,FALSE,0,FALSE,132820544.09,,132820544.09,0,FALSE,TRUE,
C,A,20250101,2025,52,2025,31,AZE,Azerbaijan,M,Import,792,TUR,Türkiye,0,W00,World,H6,HS,TRUE,1001,Wheat and meslin,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,93583,FALSE,8,kg,93583,FALSE,93583,FALSE,0,FALSE,73841.62,,73841.62,0,FALSE,TRUE,
C,A,20250101,2025,52,2025,32,ARG,Argentina,M,Import,0,W00,World,0,W00,World,H6,HS,TRUE,1001,Wheat and meslin,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,FALSE,-1,N/A,0,FALSE,,FALSE,0,FALSE,108540.94,55736.32,108540.94,0,FALSE,TRUE,
C,A,20250101,2025,52,2025,32,ARG,Argentina,M,Import,76,BRA,Brazil,0,W00,World,H6,HS,TRUE,1001,Wheat and meslin,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,41056.05,FALSE,8,kg,41056.05,FALSE,41056.05,FALSE,0,FALSE,34080.25,28308.52,34080.25,0,FALSE,TRUE,
C,A,20250101,2025,52,2025,32,ARG,Argentina,M,Import,152,CHL,Chile,0,W00,World,H6,HS,TRUE,1001,Wheat and meslin,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,FALSE,-1,N/A,0,FALSE,,FALSE,0,FALSE,62.55,0.19,62.55,0,FALSE,TRUE,
C,A,20250101,2025,52,2025,32,ARG,Argentina,M,Import,251,FRA,France,0,W00,World,H6,HS,TRUE,1001,Wheat and meslin,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,347.6,FALSE,8,kg,347.6,FALSE,347.6,FALSE,0,FALSE,3171.94,348.61,3171.94,0,FALSE,TRUE,
C,A,20250101,2025,52,2025,32,ARG,Argentina,M,Import,380,ITA,Italy,0,W00,World,H6,HS,TRUE,1001,Wheat and meslin,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,20120,FALSE,8,kg,20120,FALSE,20120,FALSE,0,FALSE,20270.52,17016.98,20270.52,0,FALSE,TRUE,
C,A,20250101,2025,52,2025,32,ARG,Argentina,M,Import,484,MEX,Mexico,0,W00,World,H6,HS,TRUE,1001,Wheat and meslin,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,20.77,FALSE,8,kg,20.77,FALSE,20.77,FALSE,0,FALSE,62.71,2.09,62.71,0,FALSE,TRUE,
C,A,20250101,2025,52,2025,32,ARG,Argentina,M,Import,710,ZAF,South Africa,0,W00,World,H6,HS,TRUE,1001,Wheat and meslin,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,FALSE,-1,N/A,0,FALSE,,FALSE,0,FALSE,25563.81,625.24,25563.81,0,FALSE,TRUE,
C,A,20250101,2025,52,2025,32,ARG,Argentina,M,Import,842,USA,USA,0,W00,World,H6,HS,TRUE,1001,Wheat and meslin,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,3704.69,FALSE,8,kg,3704.69,FALSE,3704.69,FALSE,0,FALSE,25329.16,9434.69,25329.16,0,FALSE,TRUE,
C,A,20250101,2025,52,2025,36,AUS,Australia,M,Import,0,W00,World,0,W00,World,H6,HS,TRUE,1001,Wheat and meslin,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,75938.5,FALSE,8,kg,75938.5,FALSE,75938.5,FALSE,0,FALSE,108345.24,102418.94,108345.24,0,FALSE,TRUE,
C,A,20250101,2025,52,2025,36,AUS,Australia,M,Import,4,AFG,Afghanistan,0,W00,World,H6,HS,TRUE,1001,Wheat and meslin,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1440,FALSE,8,kg,1440,FALSE,1440,FALSE,0,FALSE,2885.217,2834.817,2885.217,0,FALSE,TRUE,
C,A,20250101,2025,52,2025,36,AUS,Australia,M,Import,400,JOR,Jordan,0,W00,World,H6,HS,TRUE,1001,Wheat and meslin,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,7210,FALSE,8,kg,7210,FALSE,7210,FALSE,0,FALSE,24978.874,23409.168,24978.874,0,FALSE,TRUE,
C,A,20250101,2025,52,2025,36,AUS,Australia,M,Import,586,PAK,Pakistan,0,W00,World,H6,HS,TRUE,1001,Wheat and meslin,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,7570,FALSE,8,kg,7570,FALSE,7570,FALSE,0,FALSE,11336.227,11023.585,11336.227,0,FALSE,TRUE,
C,A,20250101,2025,52,2025,36,AUS,Australia,M,Import,699,IND,India,0,W00,World,H6,HS,TRUE,1001,Wheat and meslin,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,46846.5,FALSE,8,kg,46846.5,FALSE,46846.5,FALSE,0,FALSE,58086.519,54979.772,58086.519,0,FALSE,TRUE,
C,A,20250101,2025,52,2025,36,AUS,Australia,M,Import,760,SYR,Syria,0,W00,World,H6,HS,TRUE,1001,Wheat and meslin,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1272,FALSE,8,kg,1272,FALSE,1272,FALSE,0,FALSE,1244.235,1048.474,1244.235,0,FALSE,TRUE,
C,A,20250101,2025,52,2025,36,AUS,Australia,M,Import,792,TUR,Türkiye,0,W00,World,H6,HS,TRUE,1001,Wheat and meslin,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,11600,FALSE,8,kg,11600,FALSE,11600,FALSE,0,FALSE,9814.169,9123.124,9814.169,0,FALSE,TRUE,
C,A,20250101,2025,52,2025,51,ARM,Armenia,M,Import,0,W00,World,0,W00,World,H6,HS,TRUE,1001,Wheat and meslin,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,332093202,FALSE,8,kg,332093202,FALSE,332093202,FALSE,0,FALSE,82901211.4,,82901211.4,0,FALSE,TRUE,
C,A,20250101,2025,52,2025,51,ARM,Armenia,M,Import,40,AUT,Austria,0,W00,World,H6,HS,TRUE,1001,Wheat and meslin,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,7273,FALSE,8,kg,7273,FALSE,7273,FALSE,0,FALSE,13248.07,,13248.07,0,FALSE,TRUE,
C,A,20250101,2025,52,2025,51,ARM,Armenia,M,Import,203,CZE,Czechia,0,W00,World,H6,HS,TRUE,1001,Wheat and meslin,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,11000,FALSE,8,kg,11000,FALSE,11000,FALSE,0,FALSE,23501.91,,23501.91,0,FALSE,TRUE,
C,A,20250101,2025,52,2025,51,ARM,Armenia,M,Import,348,HUN,Hungary,0,W00,World,H6,HS,TRUE,1001,Wheat and meslin,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,81000,FALSE,8,kg,81000,FALSE,81000,FALSE,0,FALSE,169918.19,,169918.19,0,FALSE,TRUE,
C,A,20250101,2025,52,2025,51,ARM,Armenia,M,Import,398,KAZ,Kazakhstan,0,W00,World,H6,HS,TRUE,1001,Wheat and meslin,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,999973,FALSE,8,kg,999973,FALSE,999973,FALSE,0,FALSE,262992.9,,262992.9,0,FALSE,TRUE,
C,A,20250101,2025,52,2025,51,ARM,Armenia,M,Import,531,CUW,Curaçao,0,W00,World,H6,HS,TRUE,1001,Wheat and meslin,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1495250,FALSE,8,kg,1495250,FALSE,1495250,FALSE,0,FALSE,247213.95,,247213.95,0,FALSE,TRUE,
C,A,20250101,2025,52,2025,51,ARM,Armenia,M,Import,568,E19,"Other Europe, nes",0,W00,World,H6,HS,TRUE,1001,Wheat and meslin,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,24500,FALSE,8,kg,24500,FALSE,24500,FALSE,0,FALSE,10209.65,,10209.65,0,FALSE,TRUE,
C,A,20250101,2025,52,2025,51,ARM,Armenia,M,Import,643,RUS,Russian Federation,0,W00,World,H6,HS,TRUE,1001,Wheat and meslin,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,329473216,FALSE,8,kg,329473216,FALSE,329473216,FALSE,0,FALSE,82173143.69,,82173143.69,0,FALSE,TRUE,
C,A,20250101,2025,52,2025,51,ARM,Armenia,M,Import,703,SVK,Slovakia,0,W00,World,H6,HS,TRUE,1001,Wheat and meslin,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,990,FALSE,8,kg,990,FALSE,990,FALSE,0,FALSE,983.04,,983.04,0,FALSE,TRUE,
C,A,20250101,2025,52,2025,52,BRB,Barbados,M,Import,0,W00,World,0,W00,World,H6,HS,TRUE,1001,Wheat and meslin,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,15680903.48,TRUE,-1,N/A,0,FALSE,15680903.48,TRUE,0,FALSE,5351602,,5351602,6,FALSE,TRUE,
C,A,20250101,2025,52,2025,52,BRB,Barbados,M,Import,308,GRD,Grenada,0,W00,World,H6,HS,TRUE,1001,Wheat and meslin,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,245717,FALSE,8,kg,245717,FALSE,245717,FALSE,0,FALSE,110264,,110264,0,FALSE,TRUE,
C,A,20250101,2025,52,2025,52,BRB,Barbados,M,Import,842,USA,USA,0,W00,World,H6,HS,TRUE,1001,Wheat and meslin,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,15435186.48,TRUE,-1,N/A,0,FALSE,15435186.48,TRUE,0,FALSE,5241338,,5241338,6,FALSE,TRUE,
C,A,20250101,2025,52,2025,56,BEL,Belgium,M,Import,0,W00,World,0,W00,World,H6,HS,TRUE,1001,Wheat and meslin,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,FALSE,-1,N/A,0,FALSE,,FALSE,0,FALSE,988031725.685,,988031725.685,0,FALSE,TRUE,
C,A,20250101,2025,52,2025,56,BEL,Belgium,M,Import,36,AUS,Australia,0,W00,World,H6,HS,TRUE,1001,Wheat and meslin,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,26.61,FALSE,8,kg,26.61,FALSE,26.61,FALSE,0,FALSE,295.977,,295.977,0,FALSE,TRUE,
C,A,20250101,2025,52,2025,56,BEL,Belgium,M,Import,40,AUT,Austria,0,W00,World,H6,HS,TRUE,1001,Wheat and meslin,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,30515.99,FALSE,8,kg,30515.99,FALSE,30515.99,FALSE,0,FALSE,39455.491,,39455.491,0,FALSE,TRUE,
C,A,20250101,2025,52,2025,56,BEL,Belgium,M,Import,100,BGR,Bulgaria,0,W00,World,H6,HS,TRUE,1001,Wheat and meslin,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,107.39,FALSE,8,kg,107.39,FALSE,107.39,FALSE,0,FALSE,175.781,,175.781,0,FALSE,TRUE,
C,A,20250101,2025,52,2025,56,BEL,Belgium,M,Import,124,CAN,Canada,0,W00,World,H6,HS,TRUE,1001,Wheat and meslin,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,27516217.13,FALSE,8,kg,27516217.13,FALSE,27516217.13,FALSE,0,FALSE,13064746.259,,13064746.259,0,FALSE,TRUE,
C,A,20250101,2025,52,2025,56,BEL,Belgium,M,Import,170,COL,Colombia,0,W00,World,H6,HS,TRUE,1001,Wheat and meslin,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,7,FALSE,8,kg,7,FALSE,7,FALSE,0,FALSE,125.394,,125.394,0,FALSE,TRUE,
C,A,20250101,2025,52,2025,56,BEL,Belgium,M,Import,191,HRV,Croatia,0,W00,World,H6,HS,TRUE,1001,Wheat and meslin,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,222438.06,FALSE,8,kg,222438.06,FALSE,222438.06,FALSE,0,FALSE,108810.706,,108810.706,0,FALSE,TRUE,
C,A,20250101,2025,52,2025,56,BEL,Belgium,M,Import,203,CZE,Czechia,0,W00,World,H6,HS,TRUE,1001,Wheat and meslin,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,421398.6,FALSE,8,kg,421398.6,FALSE,421398.6,FALSE,0,FALSE,182285.146,,182285.146,0,FALSE,TRUE,
C,A,20250101,2025,52,2025,56,BEL,Belgium,M,Import,208,DNK,Denmark,0,W00,World,H6,HS,TRUE,1001,Wheat and meslin,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,85553,FALSE,8,kg,85553,FALSE,85553,FALSE,0,FALSE,29555.987,,29555.987,0,FALSE,TRUE,
C,A,20250101,2025,52,2025,56,BEL,Belgium,M,Import,233,EST,Estonia,0,W00,World,H6,HS,TRUE,1001,Wheat and meslin,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,125073,FALSE,8,kg,125073,FALSE,125073,FALSE,0,FALSE,62851.334,,62851.334,0,FALSE,TRUE,
