typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20250101","2025","52","2025","31","AZE","Azerbaijan","M","Import","0","W00","World","0","W00","World","H6","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","54964072.215","false","8","kg","54964072.215","false","54964072.215","false","0","false","50125199.73",,"50125199.73","0","false","true",
"C","A","20250101","2025","52","2025","31","AZE","Azerbaijan","M","Import","32","ARG","Argentina","0","W00","World","H6","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","11400","false","8","kg","11400","false","11400","false","0","false","7926.28",,"7926.28","0","false","true",
"C","A","20250101","2025","52","2025","31","AZE","Azerbaijan","M","Import","116","KHM","Cambodia","0","W00","World","H6","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","27","false","8","kg","27","false","27","false","0","false","66.3",,"66.3","0","false","true",
"C","A","20250101","2025","52","2025","31","AZE","Azerbaijan","M","Import","124","CAN","Canada","0","W00","World","H6","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","16.5","false","8","kg","16.5","false","16.5","false","0","false","352",,"352","0","false","true",
"C","A","20250101","2025","52","2025","31","AZE","Azerbaijan","M","Import","156","CHN","China","0","W00","World","H6","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","147934.2","false","8","kg","147934.2","false","147934.2","false","0","false","123546.09",,"123546.09","0","false","true",
"C","A","20250101","2025","52","2025","31","AZE","Azerbaijan","M","Import","251","FRA","France","0","W00","World","H6","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","6","false","8","kg","6","false","6","false","0","false","70.8",,"70.8","0","false","true",
"C","A","20250101","2025","52","2025","31","AZE","Azerbaijan","M","Import","276","DEU","Germany","0","W00","World","H6","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1283","false","8","kg","1283","false","1283","false","0","false","4887.62",,"4887.62","0","false","true",
"C","A","20250101","2025","52","2025","31","AZE","Azerbaijan","M","Import","288","GHA","Ghana","0","W00","World","H6","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","60","false","8","kg","60","false","60","false","0","false","101.41",,"101.41","0","false","true",
"C","A","20250101","2025","52","2025","31","AZE","Azerbaijan","M","Import","300","GRC","Greece","0","W00","World","H6","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","6950.125","false","8","kg","6950.125","false","6950.125","false","0","false","4384.64",,"4384.64","0","false","true",
"C","A","20250101","2025","52","2025","31","AZE","Azerbaijan","M","Import","364","IRN","Iran","0","W00","World","H6","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","43750","false","8","kg","43750","false","43750","false","0","false","49094",,"49094","0","false","true",
"C","A","20250101","2025","52","2025","31","AZE","Azerbaijan","M","Import","380","ITA","Italy","0","W00","World","H6","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","35359.35","false","8","kg","35359.35","false","35359.35","false","0","false","74820.7",,"74820.7","0","false","true",
"C","A","20250101","2025","52","2025","31","AZE","Azerbaijan","M","Import","392","JPN","Japan","0","W00","World","H6","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1362","false","8","kg","1362","false","1362","false","0","false","14732.06",,"14732.06","0","false","true",
"C","A","20250101","2025","52","2025","31","AZE","Azerbaijan","M","Import","398","KAZ","Kazakhstan","0","W00","World","H6","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","7961100","false","8","kg","7961100","false","7961100","false","0","false","5284120.08",,"5284120.08","0","false","true",
"C","A","20250101","2025","52","2025","31","AZE","Azerbaijan","M","Import","410","KOR","Rep. of Korea","0","W00","World","H6","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","5550","false","8","kg","5550","false","5550","false","0","false","4632.38",,"4632.38","0","false","true",
"C","A","20250101","2025","52","2025","31","AZE","Azerbaijan","M","Import","528","NLD","Netherlands","0","W00","World","H6","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","90","false","8","kg","90","false","90","false","0","false","337.16",,"337.16","0","false","true",
"C","A","20250101","2025","52","2025","31","AZE","Azerbaijan","M","Import","586","PAK","Pakistan","0","W00","World","H6","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","4001345","false","8","kg","4001345","false","4001345","false","0","false","2907866.22",,"2907866.22","0","false","true",
"C","A","20250101","2025","52","2025","31","AZE","Azerbaijan","M","Import","620","PRT","Portugal","0","W00","World","H6","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","420","false","8","kg","420","false","420","false","0","false","817.25",,"817.25","0","false","true",
"C","A","20250101","2025","52","2025","31","AZE","Azerbaijan","M","Import","643","RUS","Russian Federation","0","W00","World","H6","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1976359.88","false","8","kg","1976359.88","false","1976359.88","false","0","false","1187505.15",,"1187505.15","0","false","true",
"C","A","20250101","2025","52","2025","31","AZE","Azerbaijan","M","Import","699","IND","India","0","W00","World","H6","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","38645960.92","false","8","kg","38645960.92","false","38645960.92","false","0","false","38845731.95",,"38845731.95","0","false","true",
