typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20250101","2025","52","2025","31","AZE","Azerbaijan","M","Import","0","W00","World","0","W00","World","H6","HS","true","07","Vegetables and certain roots and tubers; edible","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"false","0","false","104030441.32",,"104030441.32","0","false","true",
"C","A","20250101","2025","52","2025","31","AZE","Azerbaijan","M","Import","31","AZE","Azerbaijan","0","W00","World","H6","HS","true","07","Vegetables and certain roots and tubers; edible","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","536789.7",,"536789.7","0","false","true",
"C","A","20250101","2025","52","2025","31","AZE","Azerbaijan","M","Import","32","ARG","Argentina","0","W00","World","H6","HS","true","07","Vegetables and certain roots and tubers; edible","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","4992.65",,"4992.65","0","false","true",
"C","A","20250101","2025","52","2025","31","AZE","Azerbaijan","M","Import","36","AUS","Australia","0","W00","World","H6","HS","true","07","Vegetables and certain roots and tubers; edible","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","4334.97",,"4334.97","0","false","true",
"C","A","20250101","2025","52","2025","31","AZE","Azerbaijan","M","Import","56","BEL","Belgium","0","W00","World","H6","HS","true","07","Vegetables and certain roots and tubers; edible","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","80275.72",,"80275.72","0","false","true",
"C","A","20250101","2025","52","2025","31","AZE","Azerbaijan","M","Import","76","BRA","Brazil","0","W00","World","H6","HS","true","07","Vegetables and certain roots and tubers; edible","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","401526.12",,"401526.12","0","false","true",
"C","A","20250101","2025","52","2025","31","AZE","Azerbaijan","M","Import","100","BGR","Bulgaria","0","W00","World","H6","HS","true","07","Vegetables and certain roots and tubers; edible","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","155.26",,"155.26","0","false","true",
"C","A","20250101","2025","52","2025","31","AZE","Azerbaijan","M","Import","104","MMR","Myanmar","0","W00","World","H6","HS","true","07","Vegetables and certain roots and tubers; edible","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","369743.74",,"369743.74","0","false","true",
"C","A","20250101","2025","52","2025","31","AZE","Azerbaijan","M","Import","112","BLR","Belarus","0","W00","World","H6","HS","true","07","Vegetables and certain roots and tubers; edible","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","206536.43",,"206536.43","0","false","true",
"C","A","20250101","2025","52","2025","31","AZE","Azerbaijan","M","Import","124","CAN","Canada","0","W00","World","H6","HS","true","07","Vegetables and certain roots and tubers; edible","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","73392.57",,"73392.57","0","false","true",
"C","A","20250101","2025","52","2025","31","AZE","Azerbaijan","M","Import","152","CHL","Chile","0","W00","World","H6","HS","true","07","Vegetables and certain roots and tubers; edible","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","1886.4",,"1886.4","0","false","true",
"C","A","20250101","2025","52","2025","31","AZE","Azerbaijan","M","Import","156","CHN","China","0","W00","World","H6","HS","true","07","Vegetables and certain roots and tubers; edible","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","2143867.15",,"2143867.15","0","false","true",
"C","A","20250101","2025","52","2025","31","AZE","Azerbaijan","M","Import","208","DNK","Denmark","0","W00","World","H6","HS","true","07","Vegetables and certain roots and tubers; edible","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","74473.27",,"74473.27","0","false","true",
"C","A","20250101","2025","52","2025","31","AZE","Azerbaijan","M","Import","251","FRA","France","0","W00","World","H6","HS","true","07","Vegetables and certain roots and tubers; edible","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","83816.93",,"83816.93","0","false","true",
"C","A","20250101","2025","52","2025","31","AZE","Azerbaijan","M","Import","268","GEO","Georgia","0","W00","World","H6","HS","true","07","Vegetables and certain roots and tubers; edible","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","8890271.41",,"8890271.41","0","false","true",
"C","A","20250101","2025","52","2025","31","AZE","Azerbaijan","M","Import","276","DEU","Germany","0","W00","World","H6","HS","true","07","Vegetables and certain roots and tubers; edible","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","1084738.13",,"1084738.13","0","false","true",
"C","A","20250101","2025","52","2025","31","AZE","Azerbaijan","M","Import","300","GRC","Greece","0","W00","World","H6","HS","true","07","Vegetables and certain roots and tubers; edible","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","51.36",,"51.36","0","false","true",
"C","A","20250101","2025","52","2025","31","AZE","Azerbaijan","M","Import","348","HUN","Hungary","0","W00","World","H6","HS","true","07","Vegetables and certain roots and tubers; edible","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","82933.82",,"82933.82","0","false","true",
"C","A","20250101","2025","52","2025","31","AZE","Azerbaijan","M","Import","364","IRN","Iran","0","W00","World","H6","HS","true","07","Vegetables and certain roots and tubers; edible","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","27609204.74",,"27609204.74","0","false","true",
"C","A","20250101","2025","52","2025","31","AZE","Azerbaijan","M","Import","380","ITA","Italy","0","W00","World","H6","HS","true","07","Vegetables and certain roots and tubers; edible","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","21180.18",,"21180.18","0","false","true",
"C","A","20250101","2025","52","2025","31","AZE","Azerbaijan","M","Import","392","JPN","Japan","0","W00","World","H6","HS","true","07","Vegetables and certain roots and tubers; edible","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","111984.45",,"111984.45","0","false","true",
"C","A","20250101","2025","52","2025","31","AZE","Azerbaijan","M","Import","398","KAZ","Kazakhstan","0","W00","World","H6","HS","true","07","Vegetables and certain roots and tubers; edible","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","4442451.35",,"4442451.35","0","false","true",
"C","A","20250101","2025","52","2025","31","AZE","Azerbaijan","M","Import","404","KEN","Kenya","0","W00","World","H6","HS","true","07","Vegetables and certain roots and tubers; edible","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","1092.63",,"1092.63","0","false","true",
"C","A","20250101","2025","52","2025","31","AZE","Azerbaijan","M","Import","417","KGZ","Kyrgyzstan","0","W00","World","H6","HS","true","07","Vegetables and certain roots and tubers; edible","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","1892720.64",,"1892720.64","0","false","true",
"C","A","20250101","2025","52","2025","31","AZE","Azerbaijan","M","Import","442","LUX","Luxembourg","0","W00","World","H6","HS","true","07","Vegetables and certain roots and tubers; edible","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","70187.3",,"70187.3","0","false","true",
"C","A","20250101","2025","52","2025","31","AZE","Azerbaijan","M","Import","450","MDG","Madagascar","0","W00","World","H6","HS","true","07","Vegetables and certain roots and tubers; edible","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","157337.74",,"157337.74","0","false","true",
"C","A","20250101","2025","52","2025","31","AZE","Azerbaijan","M","Import","484","MEX","Mexico","0","W00","World","H6","HS","true","07","Vegetables and certain roots and tubers; edible","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","809170.29",,"809170.29","0","false","true",
"C","A","20250101","2025","52","2025","31","AZE","Azerbaijan","M","Import","504","MAR","Morocco","0","W00","World","H6","HS","true","07","Vegetables and certain roots and tubers; edible","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","584.24",,"584.24","0","false","true",
"C","A","20250101","2025","52","2025","31","AZE","Azerbaijan","M","Import","512","OMN","Oman","0","W00","World","H6","HS","true","07","Vegetables and certain roots and tubers; edible","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","11.7",,"11.7","0","false","true",
"C","A","20250101","2025","52","2025","31","AZE","Azerbaijan","M","Import","528","NLD","Netherlands","0","W00","World","H6","HS","true","07","Vegetables and certain roots and tubers; edible","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","661754.47",,"661754.47","0","false","true",
"C","A","20250101","2025","52","2025","31","AZE","Azerbaijan","M","Import","586","PAK","Pakistan","0","W00","World","H6","HS","true","07","Vegetables and certain roots and tubers; edible","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","7167447.42",,"7167447.42","0","false","true",
"C","A","20250101","2025","52","2025","31","AZE","Azerbaijan","M","Import","604","PER","Peru","0","W00","World","H6","HS","true","07","Vegetables and certain roots and tubers; edible","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","9541.87",,"9541.87","0","false","true",
"C","A","20250101","2025","52","2025","31","AZE","Azerbaijan","M","Import","616","POL","Poland","0","W00","World","H6","HS","true","07","Vegetables and certain roots and tubers; edible","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","252320.33",,"252320.33","0","false","true",
"C","A","20250101","2025","52","2025","31","AZE","Azerbaijan","M","Import","642","ROU","Romania","0","W00","World","H6","HS","true","07","Vegetables and certain roots and tubers; edible","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","154.31",,"154.31","0","false","true",
"C","A","20250101","2025","52","2025","31","AZE","Azerbaijan","M","Import","643","RUS","Russian Federation","0","W00","World","H6","HS","true","07","Vegetables and certain roots and tubers; edible","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","11219771.74",,"11219771.74","0","false","true",
"C","A","20250101","2025","52","2025","31","AZE","Azerbaijan","M","Import","699","IND","India","0","W00","World","H6","HS","true","07","Vegetables and certain roots and tubers; edible","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","1112189.29",,"1112189.29","0","false","true",
"C","A","20250101","2025","52","2025","31","AZE","Azerbaijan","M","Import","710","ZAF","South Africa","0","W00","World","H6","HS","true","07","Vegetables and certain roots and tubers; edible","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","423.27",,"423.27","0","false","true",
"C","A","20250101","2025","52","2025","31","AZE","Azerbaijan","M","Import","724","ESP","Spain","0","W00","World","H6","HS","true","07","Vegetables and certain roots and tubers; edible","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","20447.45",,"20447.45","0","false","true",
"C","A","20250101","2025","52","2025","31","AZE","Azerbaijan","M","Import","760","SYR","Syria","0","W00","World","H6","HS","true","07","Vegetables and certain roots and tubers; edible","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","797314.08",,"797314.08","0","false","true",
"C","A","20250101","2025","52","2025","31","AZE","Azerbaijan","M","Import","764","THA","Thailand","0","W00","World","H6","HS","true","07","Vegetables and certain roots and tubers; edible","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","47173.24",,"47173.24","0","false","true",
"C","A","20250101","2025","52","2025","31","AZE","Azerbaijan","M","Import","784","ARE","United Arab Emirates","0","W00","World","H6","HS","true","07","Vegetables and certain roots and tubers; edible","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","4885.25",,"4885.25","0","false","true",
"C","A","20250101","2025","52","2025","31","AZE","Azerbaijan","M","Import","792","TUR","Türkiye","0","W00","World","H6","HS","true","07","Vegetables and certain roots and tubers; edible","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","25806945.84",,"25806945.84","0","false","true",
"C","A","20250101","2025","52","2025","31","AZE","Azerbaijan","M","Import","795","TKM","Turkmenistan","0","W00","World","H6","HS","true","07","Vegetables and certain roots and tubers; edible","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","694669.03",,"694669.03","0","false","true",
"C","A","20250101","2025","52","2025","31","AZE","Azerbaijan","M","Import","804","UKR","Ukraine","0","W00","World","H6","HS","true","07","Vegetables and certain roots and tubers; edible","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","778199.28",,"778199.28","0","false","true",
